sample,total,trinity,soap,velvet,spades,abyss,length
SRR10407358,48708,637,3920,5679,3808,34664,150
SRR3018852,75884,1219,2830,7209,5627,58999,100
SRR3018855,69919,1004,4618,4179,5140,54978,100
SRR3018862,72040,1161,3736,6971,4556,55616,100
SRR3019045,75475,1075,4575,5583,3867,60375,100
SRR3019179,71523,1025,4302,4884,3672,57640,100
SRR3019184,68216,1019,2924,3675,6499,54099,100
SRR6743334,17993,936,1531,688,3431,11407,50
SRR6743335,17993,871,1035,997,3248,11842,50
SRR6743336,13363,820,943,1103,3420,7077,50
SRR6743337,16403,844,1353,593,2867,10746,50
SRR6743338,17034,925,1088,1209,3405,10407,50
SRR6743339,16221,750,1290,392,2785,11004,50
SRR6743340,15729,773,1327,463,2484,10682,50
SRR6743341,17091,953,1388,558,3192,11000,50
SRR6743342,20705,744,1148,2427,4079,12307,50
SRR7716077,89632,1319,3108,14578,6431,64196,150
SRR7716078,81467,1129,2614,12326,6090,59308,150
SRR7716079,71335,975,4268,12080,3626,50386,150
SRR7716080,77794,1119,4732,12748,4115,55080,150
SRR8559044,114017,1660,6756,7285,6540,91776,75
SRR8559045,119462,1814,7300,7938,6817,95593,75
SRR8559046,123712,1910,5213,10281,6706,99602,75
SRR8559047,122375,1951,7012,7635,7227,98550,75
SRR8559048,127467,1977,7632,9358,7279,101221,75
SRR8559049,118122,1815,7361,7980,7035,93931,75
