Category,Kmer,Sample,Program,Score,Reads
Complete,KmerA,MM1,Transpi,98,"33,700,156"
Complete,KmerA,MM2,Transpi,98,"41,236,457"
Complete,KmerA,MM3,Transpi,98,"35,598,598"
Complete,KmerA,MM4,Transpi,93.9,"41,745,958"
Complete,KmerA,MM5,Transpi,96.1,"45,329,544"
Complete,KmerA,MM6,Transpi,94.5,"44,469,310"
Complete,KmerA,CE1,Transpi,86,"40,302,838"
Complete,KmerA,CE2,Transpi,86.2,"50,516,835"
Complete,KmerA,CE3,Transpi,83.9,"41,947,175"
Complete,KmerA,CE4,Transpi,83.8,"44,969,393"
Complete,KmerA,CE5,Transpi,84.1,"45,605,396"
Complete,KmerA,DM1,Transpi,97.1,"87,423,452"
Complete,KmerA,DM2,Transpi,97.6,"85,714,154"
Complete,KmerA,DM3,Transpi,96.6,"88,252,694"
Complete,KmerA,DM4,Transpi,97.4,"82,110,608"
Complete,KmerA,DM5,Transpi,96.8,"102,413,880"
Complete,KmerA,DM6,Transpi,97.6,"98,529,578"
Complete,KmerB,MM1,Transpi,97.7,"33,700,156"
Complete,KmerB,MM2,Transpi,98.1,"41,236,457"
Complete,KmerB,MM3,Transpi,97.9,"35,598,598"
Complete,KmerB,MM4,Transpi,94,"41,745,958"
Complete,KmerB,MM5,Transpi,95.8,"45,329,544"
Complete,KmerB,MM6,Transpi,94.5,"44,469,310"
Complete,KmerB,CE1,Transpi,86.2,"40,302,838"
Complete,KmerB,CE2,Transpi,86.2,"50,516,835"
Complete,KmerB,CE3,Transpi,84.2,"41,947,175"
Complete,KmerB,CE4,Transpi,83.9,"44,969,393"
Complete,KmerB,CE5,Transpi,84.4,"45,605,396"
Complete,KmerB,DM1,Transpi,97.5,"87,423,452"
Complete,KmerB,DM2,Transpi,97.3,"85,714,154"
Complete,KmerB,DM3,Transpi,96.7,"88,252,694"
Complete,KmerB,DM4,Transpi,97.7,"82,110,608"
Complete,KmerB,DM5,Transpi,96.5,"102,413,880"
Complete,KmerB,DM6,Transpi,97.8,"98,529,578"
Complete,KmerC,MM1,Transpi,98.1,"33,700,156"
Complete,KmerC,MM2,Transpi,98.2,"41,236,457"
Complete,KmerC,MM3,Transpi,97.8,"35,598,598"
Complete,KmerC,MM4,Transpi,94.1,"41,745,958"
Complete,KmerC,MM5,Transpi,95.7,"45,329,544"
Complete,KmerC,MM6,Transpi,94.4,"44,469,310"
Complete,KmerC,CE1,Transpi,86.1,"40,302,838"
Complete,KmerC,CE2,Transpi,85.6,"50,516,835"
Complete,KmerC,CE3,Transpi,84,"41,947,175"
Complete,KmerC,CE4,Transpi,84.1,"44,969,393"
Complete,KmerC,CE5,Transpi,84.3,"45,605,396"
Complete,KmerC,DM1,Transpi,96.8,"87,423,452"
Complete,KmerC,DM2,Transpi,97.2,"85,714,154"
Complete,KmerC,DM3,Transpi,96.4,"88,252,694"
Complete,KmerC,DM4,Transpi,97.3,"82,110,608"
Complete,KmerC,DM5,Transpi,96.6,"102,413,880"
Complete,KmerC,DM6,Transpi,97.2,"98,529,578"
Single-Copy,KmerA,MM1,Transpi,84.3,"33,700,156"
Single-Copy,KmerA,MM2,Transpi,82.2,"41,236,457"
Single-Copy,KmerA,MM3,Transpi,82.6,"35,598,598"
Single-Copy,KmerA,MM4,Transpi,82.2,"41,745,958"
Single-Copy,KmerA,MM5,Transpi,82.7,"45,329,544"
Single-Copy,KmerA,MM6,Transpi,82.6,"44,469,310"
Single-Copy,KmerA,CE1,Transpi,74,"40,302,838"
Single-Copy,KmerA,CE2,Transpi,72,"50,516,835"
Single-Copy,KmerA,CE3,Transpi,78.4,"41,947,175"
Single-Copy,KmerA,CE4,Transpi,79.2,"44,969,393"
Single-Copy,KmerA,CE5,Transpi,78.8,"45,605,396"
Single-Copy,KmerA,DM1,Transpi,77.5,"87,423,452"
Single-Copy,KmerA,DM2,Transpi,78.8,"85,714,154"
Single-Copy,KmerA,DM3,Transpi,75.6,"88,252,694"
Single-Copy,KmerA,DM4,Transpi,78.7,"82,110,608"
Single-Copy,KmerA,DM5,Transpi,74.1,"102,413,880"
Single-Copy,KmerA,DM6,Transpi,76.8,"98,529,578"
Single-Copy,KmerB,MM1,Transpi,82.8,"33,700,156"
Single-Copy,KmerB,MM2,Transpi,83,"41,236,457"
Single-Copy,KmerB,MM3,Transpi,83.6,"35,598,598"
Single-Copy,KmerB,MM4,Transpi,82.1,"41,745,958"
Single-Copy,KmerB,MM5,Transpi,82.5,"45,329,544"
Single-Copy,KmerB,MM6,Transpi,82.6,"44,469,310"
Single-Copy,KmerB,CE1,Transpi,74.9,"40,302,838"
Single-Copy,KmerB,CE2,Transpi,71.5,"50,516,835"
Single-Copy,KmerB,CE3,Transpi,78.1,"41,947,175"
Single-Copy,KmerB,CE4,Transpi,79.4,"44,969,393"
Single-Copy,KmerB,CE5,Transpi,79.9,"45,605,396"
Single-Copy,KmerB,DM1,Transpi,77.5,"87,423,452"
Single-Copy,KmerB,DM2,Transpi,80.2,"85,714,154"
Single-Copy,KmerB,DM3,Transpi,77.5,"88,252,694"
Single-Copy,KmerB,DM4,Transpi,78.6,"82,110,608"
Single-Copy,KmerB,DM5,Transpi,73.8,"102,413,880"
Single-Copy,KmerB,DM6,Transpi,78.3,"98,529,578"
Single-Copy,KmerC,MM1,Transpi,84.2,"33,700,156"
Single-Copy,KmerC,MM2,Transpi,82.6,"41,236,457"
Single-Copy,KmerC,MM3,Transpi,82.7,"35,598,598"
Single-Copy,KmerC,MM4,Transpi,82.6,"41,745,958"
Single-Copy,KmerC,MM5,Transpi,82,"45,329,544"
Single-Copy,KmerC,MM6,Transpi,82.5,"44,469,310"
Single-Copy,KmerC,CE1,Transpi,74.3,"40,302,838"
Single-Copy,KmerC,CE2,Transpi,71.9,"50,516,835"
Single-Copy,KmerC,CE3,Transpi,78,"41,947,175"
Single-Copy,KmerC,CE4,Transpi,79.7,"44,969,393"
Single-Copy,KmerC,CE5,Transpi,79.6,"45,605,396"
Single-Copy,KmerC,DM1,Transpi,79.4,"87,423,452"
Single-Copy,KmerC,DM2,Transpi,77.8,"85,714,154"
Single-Copy,KmerC,DM3,Transpi,78.4,"88,252,694"
Single-Copy,KmerC,DM4,Transpi,78.5,"82,110,608"
Single-Copy,KmerC,DM5,Transpi,75.9,"102,413,880"
Single-Copy,KmerC,DM6,Transpi,78.3,"98,529,578"
Duplicated,KmerA,MM1,Transpi,13.7,"33,700,156"
Duplicated,KmerA,MM2,Transpi,15.8,"41,236,457"
Duplicated,KmerA,MM3,Transpi,15.4,"35,598,598"
Duplicated,KmerA,MM4,Transpi,11.7,"41,745,958"
Duplicated,KmerA,MM5,Transpi,13.4,"45,329,544"
Duplicated,KmerA,MM6,Transpi,11.9,"44,469,310"
Duplicated,KmerA,CE1,Transpi,12,"40,302,838"
Duplicated,KmerA,CE2,Transpi,14.2,"50,516,835"
Duplicated,KmerA,CE3,Transpi,5.5,"41,947,175"
Duplicated,KmerA,CE4,Transpi,4.6,"44,969,393"
Duplicated,KmerA,CE5,Transpi,5.3,"45,605,396"
Duplicated,KmerA,DM1,Transpi,19.6,"87,423,452"
Duplicated,KmerA,DM2,Transpi,18.8,"85,714,154"
Duplicated,KmerA,DM3,Transpi,21,"88,252,694"
Duplicated,KmerA,DM4,Transpi,18.7,"82,110,608"
Duplicated,KmerA,DM5,Transpi,22.7,"102,413,880"
Duplicated,KmerA,DM6,Transpi,20.8,"98,529,578"
Duplicated,KmerB,MM1,Transpi,14.9,"33,700,156"
Duplicated,KmerB,MM2,Transpi,15.1,"41,236,457"
Duplicated,KmerB,MM3,Transpi,14.3,"35,598,598"
Duplicated,KmerB,MM4,Transpi,11.9,"41,745,958"
Duplicated,KmerB,MM5,Transpi,13.3,"45,329,544"
Duplicated,KmerB,MM6,Transpi,11.9,"44,469,310"
Duplicated,KmerB,CE1,Transpi,11.3,"40,302,838"
Duplicated,KmerB,CE2,Transpi,14.7,"50,516,835"
Duplicated,KmerB,CE3,Transpi,6.1,"41,947,175"
Duplicated,KmerB,CE4,Transpi,4.5,"44,969,393"
Duplicated,KmerB,CE5,Transpi,4.5,"45,605,396"
Duplicated,KmerB,DM1,Transpi,20,"87,423,452"
Duplicated,KmerB,DM2,Transpi,17.1,"85,714,154"
Duplicated,KmerB,DM3,Transpi,19.2,"88,252,694"
Duplicated,KmerB,DM4,Transpi,19.1,"82,110,608"
Duplicated,KmerB,DM5,Transpi,22.7,"102,413,880"
Duplicated,KmerB,DM6,Transpi,19.5,"98,529,578"
Duplicated,KmerC,MM1,Transpi,13.9,"33,700,156"
Duplicated,KmerC,MM2,Transpi,15.6,"41,236,457"
Duplicated,KmerC,MM3,Transpi,15.1,"35,598,598"
Duplicated,KmerC,MM4,Transpi,11.5,"41,745,958"
Duplicated,KmerC,MM5,Transpi,13.7,"45,329,544"
Duplicated,KmerC,MM6,Transpi,11.9,"44,469,310"
Duplicated,KmerC,CE1,Transpi,11.8,"40,302,838"
Duplicated,KmerC,CE2,Transpi,13.7,"50,516,835"
Duplicated,KmerC,CE3,Transpi,6,"41,947,175"
Duplicated,KmerC,CE4,Transpi,4.4,"44,969,393"
Duplicated,KmerC,CE5,Transpi,4.7,"45,605,396"
Duplicated,KmerC,DM1,Transpi,17.4,"87,423,452"
