sample,total,trinity,soap,velvet,spades,transbyss
SRR1041944_Ephydatia_muelleri,52130,5291,8165,22036,13806,2832
SRR1042012_Oscarella_pearsei,28230,3126,4393,5191,12915,2605
SRR1168575_Spongilla_lacustris,53814,7912,4318,25830,15152,602
SRR1711043_Mycale_phylophylla_adult,76199,10105,13769,18985,31972,1368
SRR1793376_Haliclona_tubifera,50629,3229,15340,17340,10976,3744
SRR504690_Sycon_coactum,47578,4031,11690,9365,20299,2193
SRR1145776_Peripatopsis_capensis,145999,13205,46180,47829,36976,1809
SRR1505119_Monodonta_labio,74630,4222,22530,19649,24345,3884
SRR1560310_Lyonsia_floridana,68931,4632,13307,16830,30823,3339
SRR1560359_Mercenaria_campechiensis,31554,1280,4979,4055,19359,1881
SRR1560432_Neotrigonia_margaritacea,148798,12661,36865,39567,55789,3916
SRR1560458_Cardites_antiquatus,105127,4985,25337,15139,55320,4346
SRR1561723_Sphaerium_nucleus,212922,37173,14198,51523,98528,11500
SRR1611556_Hemithiris_psittacea,32891,7102,2807,8225,11872,2885
SRR1611560_Malacobdella_grossa,36245,6976,7580,7276,12571,1842
SRR1611565_Phoronis_psammophila,106830,15981,13912,35769,37832,3336
SRR1796434_Catenula_lemnae,26450,3123,2930,8580,11017,800
SRR3097584_Florometra,124121,18442,15548,50252,32176,7703
SRR3105702_Childia_submaculatum,20017,3926,1855,2417,11308,511
SRR331123_Ennucula_tenuis,151405,23524,34566,40933,47068,5314
SRR7655554_Ircinia_fasciculata,38004,6112,2187,3567,23666,2472
SRR7754744_Krohnitta_subtilis,109446,14401,19918,20288,52102,2737
SRR10527303_Octolasmis_warwickii,162319,13889,20309,80915,41180,6026
SRR3350463_Dimya_lima,94298,7350,34026,26951,23537,2434
SRR3404576_Brachionus_plicatilis,36860,2484,7113,17074,6922,3267
SRR4113507_Calanus_finmarchicus,113686,17783,18728,35300,40428,1447
SRR4294206_Millepora_alcicornis,310938,22751,39300,132133,97340,19414
SRR504694_Corticium_candelabrum,101681,10806,23849,12896,51367,2763
SRR5140141_Eoleptestheria_cf_ticinensis,37177,3211,15893,7342,8758,1973
SRR5626553_Nautilus_pompilius,235230,15571,90420,79144,42798,7297
SRR5873556_Neocalanus_Flemingeri,46105,5995,5816,16278,16526,1490
SRR8393254_Apostichopus_japonicus,135159,9263,37158,46309,35410,7019
SRR8491966_Porites_pukoensis,567526,205846,35169,193775,124102,8634
ERR3026433_Pinnigorgia_flava,83781,5357,5826,22936,46453,3209
ERR3026434_Sinularia_cruciata,71767,4438,12929,5353,47091,1956
ERR3026435_Tubipora_musica,74306,4706,2929,8372,56165,2134
ERR3040053_Heliopora_coerulea,96892,7022,17942,7124,62460,2344
SRR8280777_Godzilliognomus_frondosus,80041,7501,19722,16651,32655,3512
SRR8745910_Galeodes_sp,44800,3540,11038,11726,16247,2249
SRR8745911_Peripatoides_novaezealandiae_onychophora,37723,2587,5579,10641,17053,1863
ERR1000783_Paracentrotus_lividus,68157,6905,16772,15904,27113,1463
SRR10744002_Paracentrotus_lividus,105166,10477,28739,25990,34321,5639
SRR1232685_Nephtys_caeca,22712,1765,2569,9714,8406,258
SRR1271607_Gnathostomula_paradoxa,39838,4891,7031,12187,14664,1065
SRR1271706_Macrodasys_sp,19283,1807,2193,5347,9063,873
SRR1273732_Lepidodermella_squamata,43454,4872,7970,10857,19065,690
SRR1273789_Cephalothrix_linearis,39600,3890,8900,10476,15120,1214
SRR5569439_Acropora_palmata,73435,5979,7268,25474,32159,2555
SRR8601367_Acropora_pulchra,90353,6395,17341,15394,48084,3139
