sample,total,trinity,soap,velvet,spades,transbyss
SRR1041944_Ephydatia_muelleri,2240058,109969,427651,1241150,350778,110510
SRR1042012_Oscarella_pearsei,1525410,76217,279065,846457,222110,101561
SRR1168575_Spongilla_lacustris,2988948,81096,182369,2449855,207172,68456
SRR1711043_Mycale_phylophylla_adult,3505681,149696,554230,2139592,581671,80492
SRR1793376_Haliclona_tubifera,2119168,95561,390316,1239175,279505,114611
SRR504690_Sycon_coactum,1842690,78936,429952,948659,301474,83669
SRR1145776_Peripatopsis_capensis,7468502,253608,1474950,3856303,1804609,79032
SRR1505119_Monodonta_labio,2227813,95092,453234,1151532,444693,83262
SRR1560310_Lyonsia_floridana,3524406,109261,803971,1837408,658755,115011
SRR1560359_Mercenaria_campechiensis,1262685,42837,252786,413692,450780,102590
SRR1560432_Neotrigonia_margaritacea,4460848,224399,847694,2427905,856068,104782
SRR1560458_Cardites_antiquatus,3658976,140708,844983,1367643,1160988,144654
SRR1561723_Sphaerium_nucleus,8125603,351328,1638548,3400580,2413217,321930
SRR1611556_Hemithiris_psittacea,1697588,103455,232150,1011313,269715,80955
SRR1611560_Malacobdella_grossa,1743198,88214,271243,1082934,229102,71705
SRR1611565_Phoronis_psammophila,4740912,187215,880602,2841582,689921,141592
SRR1796434_Catenula_lemnae,905027,40923,161776,515643,158128,28557
SRR3097584_Florometra,6687460,238703,891318,4664169,668847,224423
SRR3105702_Childia_submaculatum,1712995,69336,357790,1053069,154645,78155
SRR331123_Ennucula_tenuis,5175361,230373,961879,3140696,695179,147234
SRR7655554_Ircinia_fasciculata,1796743,73615,362379,678941,533612,148196
SRR7754744_Krohnitta_subtilis,5117406,234281,876887,2986768,894047,125423
SRR10527303_Octolasmis_warwickii,10144070,216378,1218290,7679756,769474,260172
SRR3350463_Dimya_lima,3936061,180637,910717,2100139,624295,120273
SRR3404576_Brachionus_plicatilis,2203382,67437,379889,1415139,245196,95721
SRR4113507_Calanus_finmarchicus,7852013,289158,1444679,5102755,801001,214420
SRR4294206_Millepora_alcicornis,14331932,448777,2997100,8924213,1452127,509715
SRR504694_Corticium_candelabrum,5935700,234318,1097833,2681499,1744152,177898
SRR5140141_Eoleptestheria_cf_ticinensis,1920437,84933,453216,965069,296820,120399
SRR5626553_Nautilus_pompilius,8900908,421377,2324041,4549641,1363715,242134
SRR5873556_Neocalanus_Flemingeri,2332513,84045,588017,1281055,312883,66513
SRR8393254_Apostichopus_japonicus,5797805,170456,1100070,3658889,609118,259272
SRR8491966_Porites_pukoensis,20674799,904664,4391212,11053093,4049985,275845
ERR3026433_Pinnigorgia_flava,2326676,126807,659129,1024414,439927,76399
ERR3026434_Sinularia_cruciata,1983262,103901,539174,886996,389051,64140
ERR3026435_Tubipora_musica,2095678,111484,555167,955000,428223,45804
ERR3040053_Heliopora_coerulea,2690718,146770,706359,1221145,550971,65473
SRR8280777_Godzilliognomus_frondosus,3244347,124606,613414,1974217,451921,80189
SRR8745910_Galeodes_sp,1975260,62478,372279,1130299,344425,65779
SRR8745911_Peripatoides_novaezealandiae_onychophora,1640259,63043,270852,912409,331616,62339
ERR1000783_Paracentrotus_lividus,2610841,88216,548784,1599521,337451,36869
SRR10744002_Paracentrotus_lividus,4755138,155623,998233,2876422,527714,197146
SRR1232685_Nephtys_caeca,943105,30756,153391,573694,178952,6312
SRR1271607_Gnathostomula_paradoxa,2053429,80664,427936,1071167,407421,66241
SRR1271706_Macrodasys_sp,995192,33254,169989,571827,189987,30135
SRR1273732_Lepidodermella_squamata,2219103,79791,460208,1155102,485426,38576
SRR1273789_Cephalothrix_linearis,1851853,67308,351409,1063054,331598,38484
SRR5569439_Acropora_palmata,2853269,106166,483291,1655949,529062,78801
SRR8601367_Acropora_pulchra,3984224,141515,891645,2128918,680437,141709
